frame,id,score,x,y,x2,y2
0,sports ball,0.96201664,266,448,313,495
0,sports ball,0.90083325,337,330,360,375
0,sports ball,0.79091674,338,593,360,638
0,sports ball,0.7451244,252,159,300,207
1,sports ball,0.9691702,265,446,313,493
1,sports ball,0.8672103,253,161,301,208
1,sports ball,0.84185165,335,330,360,378
2,sports ball,0.97775203,266,445,313,492
2,sports ball,0.9340983,255,160,301,208
2,sports ball,0.7229616,335,333,360,378
3,sports ball,0.98582804,266,445,313,491
3,sports ball,0.9855254,256,161,302,209
3,sports ball,0.71308774,336,590,360,637
4,sports ball,0.99286216,265,443,311,490
4,sports ball,0.9866338,256,161,302,209
5,sports ball,0.9798116,258,163,303,210
5,sports ball,0.9747438,265,442,311,490
6,sports ball,0.9590867,259,164,306,211
6,sports ball,0.89256597,263,441,310,488
7,sports ball,0.8977641,264,440,311,486
7,sports ball,0.7500824,260,164,308,211
8,sports ball,0.9634904,263,439,311,486
9,sports ball,0.9565346,263,439,311,486
10,sports ball,0.9649039,263,438,311,485
11,sports ball,0.975249,263,437,311,484
11,sports ball,0.86879665,261,166,311,215
12,sports ball,0.97098285,263,436,311,483
12,sports ball,0.8650304,261,166,311,215
13,sports ball,0.97864985,263,435,311,481
13,sports ball,0.87190044,263,168,311,216
14,sports ball,0.9822432,265,435,313,481
14,sports ball,0.9151352,263,168,310,215
15,sports ball,0.93422145,265,434,312,480
15,sports ball,0.77370244,262,168,310,216
16,sports ball,0.8609668,263,433,312,480
16,sports ball,0.76834536,264,170,313,217
17,sports ball,0.8258575,267,170,314,217
17,sports ball,0.7404169,262,431,310,479
17,sports ball,0.7355211,324,342,360,390
18,sports ball,0.9577631,268,172,314,218
18,sports ball,0.8091097,323,343,360,391
18,sports ball,0.8067502,261,430,310,477
19,sports ball,0.9619644,268,172,314,218
19,sports ball,0.9518555,262,429,310,476
19,sports ball,0.8061633,323,344,360,393
20,sports ball,0.9427794,263,428,312,476
20,sports ball,0.9313752,268,172,315,220
20,sports ball,0.7818896,322,345,360,394
21,sports ball,0.936673,263,428,312,476
21,sports ball,0.78130585,270,172,318,220
22,sports ball,0.9722378,263,427,312,476
22,sports ball,0.8116459,270,173,320,220
23,sports ball,0.9769299,263,426,310,473
23,sports ball,0.7182846,270,174,318,221
24,sports ball,0.9943283,263,425,311,472
24,sports ball,0.8677276,271,175,320,221
24,sports ball,0.7984943,319,348,360,397
25,sports ball,0.99174315,263,424,311,472
25,sports ball,0.8247867,272,175,321,222
25,sports ball,0.7055742,320,350,360,398
26,sports ball,0.9858096,263,424,312,470
26,sports ball,0.85337186,319,351,360,398
26,sports ball,0.8510441,272,175,321,222
27,sports ball,0.9800004,263,423,311,470
27,sports ball,0.9723174,318,352,360,400
27,sports ball,0.879761,273,175,322,224
28,sports ball,0.9745274,317,351,360,400
28,sports ball,0.9484335,263,421,312,469
28,sports ball,0.92550564,273,176,321,223
29,sports ball,0.9800121,316,353,360,400
29,sports ball,0.9384274,262,420,311,466
29,sports ball,0.91746485,275,176,321,223
30,sports ball,0.98674065,315,354,360,401
30,sports ball,0.9435192,263,419,312,466
30,sports ball,0.79920477,275,178,321,225
31,sports ball,0.96675986,315,355,360,403
31,sports ball,0.91765344,263,418,312,466
31,sports ball,0.91725624,276,177,322,225
32,sports ball,0.9495262,314,356,360,403
32,sports ball,0.93236196,263,416,312,465
32,sports ball,0.9137144,279,179,325,226
33,sports ball,0.9486815,312,356,360,404
33,sports ball,0.8645545,262,416,311,463
33,sports ball,0.7792291,279,180,326,227
34,sports ball,0.9537664,312,356,360,404
34,sports ball,0.87057877,262,416,311,463
34,sports ball,0.7848319,279,180,326,227
35,sports ball,0.96197426,263,415,311,462
35,sports ball,0.88943225,311,358,359,405
35,sports ball,0.79477555,280,180,328,228
36,sports ball,0.9596317,263,414,311,461
36,sports ball,0.847963,309,358,358,408
36,sports ball,0.80273485,280,181,329,228
37,sports ball,0.9372203,262,413,311,461
37,sports ball,0.918719,281,181,330,229
37,sports ball,0.7606264,311,360,360,410
38,sports ball,0.91229546,281,183,330,230
38,sports ball,0.8677609,262,412,311,460
39,sports ball,0.9608344,283,183,331,230
39,sports ball,0.8733795,309,363,357,411
39,sports ball,0.84526914,262,411,311,460
40,sports ball,0.9901266,283,184,331,231
40,sports ball,0.917714,261,410,311,458
40,sports ball,0.85618204,309,363,357,411
40,sports ball,0.7467498,323,571,360,618
41,sports ball,0.9894984,283,184,331,231
41,sports ball,0.95254755,308,363,356,411
41,sports ball,0.8629736,261,409,311,457
41,sports ball,0.76383877,323,571,360,618
42,sports ball,0.98432976,306,363,354,411
42,sports ball,0.98289835,283,185,331,231
42,sports ball,0.93499047,262,408,311,455
42,sports ball,0.8566172,323,571,360,617
43,sports ball,0.95888734,285,185,332,232
43,sports ball,0.9434417,306,365,355,415
43,sports ball,0.9351938,323,571,360,618
43,sports ball,0.84713006,262,407,312,454
44,sports ball,0.9535937,286,185,332,233
44,sports ball,0.9070312,323,569,360,616
44,sports ball,0.89096004,262,406,313,453
44,sports ball,0.8558452,305,365,352,415
45,sports ball,0.9647208,262,404,313,453
45,sports ball,0.9131892,322,569,360,616
45,sports ball,0.9039462,286,186,332,234
45,sports ball,0.8604594,303,366,351,416
46,sports ball,0.9524355,261,402,313,453
46,sports ball,0.92717165,321,568,360,615
46,sports ball,0.8859838,301,367,350,416
46,sports ball,0.857065,288,186,336,235
47,sports ball,0.9297153,321,568,360,615
47,sports ball,0.9100394,261,403,312,451
47,sports ball,0.8432248,301,367,350,416
47,sports ball,0.7839064,288,187,336,236
48,sports ball,0.90389436,261,401,312,451
48,sports ball,0.89200056,321,566,360,615
48,sports ball,0.8138862,301,368,350,418
48,sports ball,0.80861735,290,188,338,236
49,sports ball,0.9019798,320,567,360,614
49,sports ball,0.81732017,299,370,350,420
49,sports ball,0.7729826,261,401,312,450
49,sports ball,0.7008467,288,189,337,238
50,sports ball,0.84598285,320,566,360,613
51,sports ball,0.86013705,320,566,360,613
51,sports ball,0.7638958,291,190,340,238
51,sports ball,0.75182104,261,399,313,448
51,sports ball,0.7411166,301,373,350,420
52,sports ball,0.95566833,320,564,360,611
52,sports ball,0.8745023,261,398,313,446
52,sports ball,0.83473986,291,191,340,238
53,sports ball,0.9544328,320,564,360,611
53,sports ball,0.8565012,292,191,341,239
53,sports ball,0.83465165,261,397,313,445
54,sports ball,0.9379205,320,563,360,611
54,sports ball,0.936977,291,192,341,239
55,sports ball,0.9889176,293,193,341,240
55,sports ball,0.9351278,320,563,360,611
56,sports ball,0.99121547,293,193,341,240
56,sports ball,0.9630392,319,563,360,610
57,sports ball,0.9694267,319,563,360,610
57,sports ball,0.9673255,295,194,343,242
58,sports ball,0.97701675,318,562,360,609
58,sports ball,0.9705682,296,193,343,241
58,kite,0.86213714,260,381,341,440
59,sports ball,0.9835154,318,562,360,610
59,sports ball,0.86260486,298,194,344,242
59,kite,0.7865402,260,380,341,438
60,sports ball,0.97044075,318,561,360,607
60,sports ball,0.8491493,298,195,344,243
60,kite,0.75574845,258,381,341,439
61,sports ball,0.97622174,318,561,360,607
61,kite,0.8503532,259,382,340,438
62,sports ball,0.9423061,317,560,360,608
62,kite,0.8428273,258,383,339,438
63,sports ball,0.9467562,317,560,360,608
63,kite,0.9294049,257,383,340,435
64,sports ball,0.9813036,317,560,360,605
64,kite,0.9332166,258,384,339,435
65,sports ball,0.976025,315,560,360,606
65,kite,0.8954189,258,383,339,435
65,sports ball,0.804121,301,198,350,245
66,sports ball,0.98899287,315,558,360,605
66,kite,0.94203335,258,384,341,434
66,sports ball,0.90011036,302,199,351,246
67,sports ball,0.9911568,315,558,360,605
67,kite,0.94789463,258,383,337,433
67,sports ball,0.8748454,303,200,351,248
68,sports ball,0.9849996,315,557,360,604
68,kite,0.9510864,258,383,338,434
68,sports ball,0.9300706,303,200,351,248
69,sports ball,0.9823667,315,558,360,604
69,sports ball,0.96783835,303,201,350,248
69,kite,0.80577403,261,384,339,436
70,sports ball,0.9818927,314,556,360,603
70,kite,0.9683561,258,382,335,435
70,sports ball,0.9658708,305,201,351,248
71,sports ball,0.98885417,305,201,351,249
71,sports ball,0.98294675,314,556,360,603
71,kite,0.97392696,260,383,337,436
72,sports ball,0.9950399,313,555,360,603
72,sports ball,0.9884085,308,203,353,250
72,kite,0.9817207,258,381,335,435
73,sports ball,0.9945537,313,555,360,603
73,kite,0.9929467,258,380,336,438
73,sports ball,0.9848016,308,203,353,250
74,sports ball,0.99419576,313,555,360,601
74,kite,0.9909156,258,380,335,440
74,sports ball,0.9763358,308,204,355,251
75,sports ball,0.975172,312,555,360,602
75,sports ball,0.9513233,310,204,356,252
75,kite,0.8402011,259,379,334,441
76,sports ball,0.9784199,313,553,360,601
76,kite,0.84099144,259,378,333,442
77,sports ball,0.9799217,313,553,360,601
77,kite,0.76311445,260,376,333,443
77,sports ball,0.738889,309,205,358,254
78,sports ball,0.95379347,311,553,360,601
78,kite,0.7794125,259,376,332,443
78,sports ball,0.7114151,309,205,358,254
79,sports ball,0.95314825,311,553,360,601
79,sports ball,0.8555855,310,206,358,254
79,kite,0.7565308,260,375,332,443
80,sports ball,0.92892647,311,551,360,600
80,sports ball,0.9040733,310,206,360,254
80,kite,0.7692508,260,374,331,444
81,sports ball,0.9358562,312,208,360,255
81,sports ball,0.9311194,311,551,360,600
82,sports ball,0.9003564,312,209,360,256
82,sports ball,0.8870549,310,551,360,600
83,sports ball,0.8958868,310,551,360,600
83,sports ball,0.79050386,314,209,360,256
84,sports ball,0.933332,310,550,358,597
84,sports ball,0.7686426,313,209,359,258
85,sports ball,0.8833868,310,550,358,596
85,sports ball,0.79536265,314,209,359,257
86,sports ball,0.97002226,316,211,360,258
87,sports ball,0.9633958,318,211,360,258
87,sports ball,0.81082445,278,403,324,450
88,sports ball,0.94406337,308,546,355,596
88,sports ball,0.9107104,318,212,360,260
88,sports ball,0.7962204,277,405,323,450
88,sports ball,0.7053109,260,365,307,412
89,sports ball,0.9697929,259,365,306,412
89,sports ball,0.9556291,319,213,360,260
89,sports ball,0.94700104,308,546,355,596
89,sports ball,0.946732,276,405,323,451
90,sports ball,0.992769,259,364,307,411
90,sports ball,0.95588565,309,546,356,594
90,sports ball,0.9388639,275,404,322,451
90,sports ball,0.8149713,320,213,360,260
91,sports ball,0.99442333,259,363,306,410
91,sports ball,0.9694262,309,546,355,595
91,sports ball,0.9516086,273,405,321,452
91,sports ball,0.78624874,320,213,360,261
92,sports ball,0.99259406,259,362,306,409
92,sports ball,0.98953885,309,546,355,593
92,sports ball,0.9802343,273,406,321,453
92,sports ball,0.8218035,321,213,360,261
93,sports ball,0.98898566,309,546,355,593
93,sports ball,0.96376747,273,407,320,454
93,sports ball,0.9206839,259,361,306,409
94,sports ball,0.99566156,309,545,355,591
94,sports ball,0.90370286,271,408,320,455
94,sports ball,0.7799269,259,360,306,408
95,sports ball,0.994911,308,545,354,591
95,sports ball,0.7791412,258,359,306,407
95,sports ball,0.7594057,271,410,320,457
95,sports ball,0.75591725,323,215,360,264
96,sports ball,0.99655116,308,544,354,591
96,sports ball,0.7587294,323,216,360,265
97,sports ball,0.9968555,308,544,354,591
97,sports ball,0.8239863,325,217,360,263
98,sports ball,0.9902659,306,543,353,590
98,sports ball,0.76921654,325,220,360,266
99,sports ball,0.9890492,306,543,353,590
99,sports ball,0.70474213,258,356,306,403
100,sports ball,0.93038756,304,541,353,589
100,sports ball,0.8802316,257,354,304,403
100,sports ball,0.74759203,268,413,315,461
101,sports ball,0.9700141,258,355,305,401
101,sports ball,0.94312286,303,541,351,588
101,sports ball,0.921088,268,414,315,462
102,sports ball,0.9813292,258,353,304,400
102,sports ball,0.95121205,303,540,350,587
102,sports ball,0.9182519,268,414,315,462
103,sports ball,0.956617,258,352,304,400
103,sports ball,0.95061976,303,540,350,587
103,sports ball,0.87857777,266,415,313,463
104,sports ball,0.97315997,303,540,351,586
104,sports ball,0.8700911,258,351,306,399
104,sports ball,0.818114,264,415,312,464
105,sports ball,0.9743745,303,540,351,586
105,sports ball,0.8957449,258,350,305,398
105,sports ball,0.8760575,265,416,313,465
105,person,0.72811925,330,223,360,270
106,sports ball,0.9597081,302,538,350,585
106,sports ball,0.9225321,263,418,312,465
106,sports ball,0.9217738,258,349,305,398
106,person,0.75913286,331,223,360,270
107,sports ball,0.96323276,302,538,350,585
107,sports ball,0.9237794,261,419,310,466
107,sports ball,0.8833849,258,348,305,396
107,person,0.7537086,331,223,360,270
108,sports ball,0.9462439,262,421,311,467
108,sports ball,0.9442424,302,538,350,584
108,sports ball,0.9354172,258,347,305,395
109,sports ball,0.9415995,302,538,350,583
109,sports ball,0.9403448,258,346,305,395
109,sports ball,0.9379088,261,421,311,469
110,sports ball,0.97334504,258,345,305,393
110,sports ball,0.93692344,302,536,351,583
110,sports ball,0.86497384,261,421,309,468
110,sports ball,0.7279343,335,226,360,272
111,sports ball,0.9768306,258,345,305,393
111,sports ball,0.89138615,261,423,309,470
111,sports ball,0.7996285,301,536,349,585
112,sports ball,0.98991185,258,344,303,390
112,sports ball,0.932634,301,536,349,583
112,sports ball,0.922193,260,425,308,470
112,sports ball,0.8286283,336,226,360,273
113,sports ball,0.9917129,258,344,305,390
113,sports ball,0.9277303,259,424,307,471
113,sports ball,0.9241127,301,536,349,583
113,sports ball,0.8222889,337,228,360,273
114,sports ball,0.9834636,258,342,304,389
114,sports ball,0.89912695,300,535,348,582
114,sports ball,0.8673872,260,426,308,472
114,sports ball,0.7622878,335,228,360,273
115,sports ball,0.97247285,259,425,306,473
115,sports ball,0.8832921,300,535,348,582
115,sports ball,0.79602057,335,230,360,276
115,sports ball,0.7613302,258,341,305,388
116,sports ball,0.97062916,258,426,305,475
116,sports ball,0.89835393,258,340,305,387
116,sports ball,0.85984975,299,533,347,581
116,sports ball,0.8244657,335,230,360,276
117,sports ball,0.96444416,258,427,306,475
117,sports ball,0.960153,300,534,348,581
117,sports ball,0.92124164,258,340,305,386
118,sports ball,0.96640044,257,429,304,476
118,sports ball,0.9012412,256,338,302,385
118,sports ball,0.79490775,300,532,349,581
119,sports ball,0.9355576,256,336,302,384
119,sports ball,0.9294342,255,430,302,476
119,sports ball,0.780781,300,532,349,581